Pressure,Qual0.5,Qual1,Qual2,Qual5,Qual10,Qual20,Qual30,Qual50,Qual100,Qual200,Qual500,,,,,,,,,,,,,,,,,,,
1.92,0.095953935,0.191815798,0.383263663,0.95540671,1.901685401,3.767206728,5.597251708,9.153598393,17.46931315,31.88685728,61.7107114,,,,,,,,,,,,,,,,,,,
1.94,0.09695297,0.193811942,0.387248253,0.965310674,1.921303102,3.805692148,5.653876368,9.244399387,17.63420957,32.15876567,62.09169619,,,,,,,,,,,,,,,,,,,
1.96,0.097951996,0.195808045,0.391232683,0.975213648,1.94091688,3.844162176,5.710467063,9.335109625,17.79877653,32.4295886,62.46889011,,,,,,,,,,,,,,,,,,,
1.98,0.098951011,0.197804109,0.395216954,0.985115632,1.960526735,3.88261682,5.767023814,9.425729198,17.96301469,32.69933041,62.8423309,,,,,,,,,,,,,,,,,,,
2,0.099950017,0.199800133,0.399201066,0.995016625,1.980132669,3.921056085,5.823546642,9.516258196,18.12692469,32.9679954,63.21205588,,,,,,,,,,,,,,,,,,,
2.02,0.100949012,0.201796117,0.403185018,1.004916628,1.999734683,3.959479977,5.880035565,9.606696711,18.29050721,33.23558787,63.57810204,,,,,,,,,,,,,,,,,,,
2.04,0.101947998,0.203792061,0.407168811,1.014815642,2.019332776,3.997888503,5.936490606,9.697044833,18.45376288,33.50211212,63.94050598,,,,,,,,,,,,,,,,,,,
2.06,0.102946973,0.205787966,0.411152444,1.024713665,2.03892695,4.036281668,5.992911783,9.787302652,18.61669237,33.76757239,64.29930394,,,,,,,,,,,,,,,,,,,
2.08,0.103945939,0.20778383,0.415135919,1.034610699,2.058517205,4.07465948,6.049299118,9.877470258,18.77929633,34.03197295,64.6545318,,,,,,,,,,,,,,,,,,,
2.1,0.104944894,0.209779654,0.419119234,1.044506743,2.078103543,4.113021943,6.105652631,9.967547741,18.9415754,34.29531802,65.00622509,,,,,,,,,,,,,,,,,,,
2.12,0.10594384,0.211775439,0.423102389,1.054401798,2.097685964,4.151369064,6.161972342,10.05753519,19.10353024,34.55761181,65.35441897,,,,,,,,,,,,,,,,,,,
2.14,0.106942775,0.213771183,0.427085385,1.064295863,2.117264469,4.18970085,6.218258271,10.1474327,19.2651615,34.81885852,65.69914826,,,,,,,,,,,,,,,,,,,
2.16,0.107941701,0.215766888,0.431068222,1.074188939,2.136839059,4.228017305,6.274510439,10.23724036,19.42646981,35.07906233,66.04044744,,,,,,,,,,,,,,,,,,,
2.18,0.108940617,0.217762553,0.4350509,1.084081025,2.156409734,4.266318438,6.330728865,10.32695825,19.58745583,35.33822741,66.37835063,,,,,,,,,,,,,,,,,,,
2.2,0.109939522,0.219758177,0.439033418,1.093972122,2.175976495,4.304604253,6.386913571,10.41658647,19.7481202,35.59635789,66.71289163,,,,,,,,,,,,,,,,,,,
2.22,0.110938418,0.221753762,0.443015777,1.103862231,2.195539343,4.342874756,6.443064576,10.50612511,19.90846357,35.85345792,67.04410389,,,,,,,,,,,,,,,,,,,
2.24,0.111937303,0.223749307,0.446997977,1.11375135,2.215098279,4.381129955,6.4991819,10.59557425,20.06848656,36.1095316,67.37202054,,,,,,,,,,,,,,,,,,,
2.26,0.112936179,0.225744812,0.450980017,1.123639481,2.234653304,4.419369854,6.555265564,10.68493399,20.22818983,36.36458303,67.69667436,,,,,,,,,,,,,,,,,,,
2.28,0.113935045,0.227740277,0.454961899,1.133526622,2.254204418,4.457594461,6.611315588,10.77420441,20.38757402,36.61861629,68.01809782,,,,,,,,,,,,,,,,,,,
2.3,0.1149339,0.229735703,0.45894362,1.143412775,2.273751623,4.495803781,6.667331992,10.86338561,20.54663975,36.87163545,68.33632306,,,,,,,,,,,,,,,,,,,
2.32,0.115932746,0.231731088,0.462925183,1.15329794,2.293294918,4.53399782,6.723314796,10.95247767,20.70538767,37.12364455,68.65138191,,,,,,,,,,,,,,,,,,,
2.34,0.116931582,0.233726433,0.466906586,1.163182116,2.312834305,4.572176585,6.779264021,11.04148068,20.86381841,37.37464763,68.96330587,,,,,,,,,,,,,,,,,,,
